|0.00
74LS12|27.50
74LS121|85.00
74LS122|39.00
74LS123|23.00
74LS125|19.00
74LS126|19.50
74LS13|22.00
74LS132|26.50
74LS133|26.00
74LS136|36.00
74LS137|39.00
74LS138|16.50
74LS139|15.50
74LS14|14.00
74LS145|33.00
74LS147|45.00
74LS148|59.00
74LS15|16.00
74LS150|69.00
74LS151|22.50
74LS153|22.00
74LS154|99.00
74LS155|29.00
74LS156|23.50
74LS157|23.00
74LS158|0.00
74LS159|8.00
74LS160|34.50
74LS161|22.00
74LS163|20.50
74LS164|19.50
74LS165|19.50
74LS166|25.00
74LS168|35.00
74LS169|49.00
74LS17|21.00
74LS170|45.00
74LS173|34.00
74LS174|25.00
74LS175|35.00
74LS181|139.00
74LS189|30.50
74LS190|49.00
74LS191|39.00
74LS192|20.00
74LS193|24.50
74LS194|39.00
74LS195|45.00
74LS197|29.00
74LS20|10.50
74LS21|15.50
74LS22|15.00
74LS221|20.00
74LS240|9.00
74LS241|26.00
74LS243|59.00
74LS244|19.50
74LS245|19.50
74LS247|59.00
74LS251|6.00
74LS253|11.00
74LS257|7.00
74LS259|12.00
74LS26|36.00
74LS260|45.00
74LS266|19.50
74LS27|15.00
74LS273|36.00
74LS279|39.00
74LS28|89.00
74LS283|29.00
74LS288|13.00
74LS293|110.00
74LS299|12.00
74LS30|22.00
74LS32|9.00
74LS33|34.00
74LS348|45.00
74LS365|0.00
74LS367|10.50
74LS37|29.00
74LS373|23.00
74LS374|25.50
74LS377|29.50
74LS38|17.50
74LS390|46.00
74LS393|29.00
74LS40|6.00
74LS42|55.00
74LS47|25.50
74LS48|29.00
74LS51|18.00
74LS54|39.00
74LS540|27.00
74LS541|18.00
74LS55|0.00
74LS573|39.00
74LS574|49.00
74LS590|95.00
74LS64|6.00
74LS682|33.00
74LS688|49.00
74LS70|49.00
74LS72|32.00
74LS73|39.00
74LS74|13.00
74LS75|75.00
74LS76|45.00
74LS77|55.00
74LS83|39.00
74LS85|39.00
74LS86|9.00
74LS89|349.00
74LS90|24.50
74LS92|79.00
74LS93|49.00
74LS94|23.00
74LS95|139.00
74LS96|44.00
74S289|99.00
74S32|16.00
78L24|12.00
78S40|59.00
78T12|15.00
78T24|0.00
8086|70.00
8088|50.00
80C31BH|84.00
80C32|30.00
8155|45.00
8251|44.00
8255|99.00
8259|55.00
8284|140.00
8755|70.00
A.RESISTORES10k|4.00
A.RESISTORES3.9K|6.00
A1011|17.50
A1015|0.00
A2222|19.00
A3516L|48.50
A4988|120.00
A683|5.00
A733|8.00
A950Y|6.00
AC127|39.00
AC187|25.00
ACELEROMETROADXL335|99.00
ACELEROMETROADXL345|69.00
ACELEROMETROYGIRO|69.00
ACOBRE|1.50
ACOMPRIMIDO|85.00
ACOPLADOR|12.00
ACOPLADORMOTOR-CHI|0.00
ACOPLADORMOTOR-GDE|0.00
ACRILICO15X20|21.00
ACRILICO20X20|55.00
ACRILICO30X40|99.00
ACTUADOR|35.00
AD534JH|385.00
AD590JH|299.00
AD594|450.00
AD595A|350.00
AD620|149.00
AD630KN|925.00
AD633|270.00
AD670JN|158.00
AD705JN|110.00
AD736JN|135.00
AD817|139.00
ADAP2JACK-PLUG3.5E|9.50
ADAP2JACKRCA-PLUG3.5E|8.50
ADAP2JACKRCA-PLUG6.3E|9.50
ADAP2JACKRCA-PLUG6.3M|9.00
ADAPDB25HEADER|49.00
ADAPDEBROCAS|79.00
ADAPEUROPEO-AMERICANO|19.50
ADAPJACK6.3-PLUGRCA|8.00
ADAPJACKRCA-PLUG6.3MONO|19.00
ADAPJACKRCA-RCA|4.00
ADAPPLUGBNC-JACKRCA|9.50
ADAPTADOR-RJ11|19.00
ADAPTADOR-RJ45|27.00
ADAPTADORDB9-RJ45|49.00
ADAPTADORUSB-PARALELO|249.00
ADC0802|149.00
ADC0804|129.00
ADC0805|65.00
ADC0808|153.00
ADC0809|130.00
ADC081S021|69.00
ADC0820|129.00
ADC0831|83.00
ADC0832|65.00
ADC0838|0.00
ALAMBRE1|2.00
ALAMBRE12-NEGRO|19.50
ALAMBRE12-ROJO|19.50
ALAMBRE14-NEGRO|16.50
ALAMBRE14-ROJO|16.50
ALAMBRE2|3.50
ALCOHOLSILIMEX|48.00
AM1D-0512DH30-NZ|179.00
AMPERIMETRO-15ACD|129.00
AMPERIMETRO-1ACD|159.00
AMPERIMETRO-30ACD|129.00
AMPERMETRO|148.00
AN7410N|29.00
ANTENATV|45.00
ANTIESTATICA13X19|22.50
ANTIESTATICA6X9|0.00
ANTIESTATICA8X12|10.00
ANTIESTATICA9X13|10.00
AO3400|19.00
AOP605|25.00
AP1501-50T5|108.00
APAGADOR|9.50
APAGADORESCALERA|10.50
ARDUINO-DUE|425.00
ARDUINO-LEONARD|249.00
ARDUINO-LILYPAD|190.00
