cveproducto|ExistenciaMatriz|ExistenciaExpendio|VentaTotal|1|2|3|4|5|6|7|8|9|10|11|12|Producto|
74LS14|25.00|20.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS148|12.00|74.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS164|24.00|23.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS193|255.00|30.00|10.00|0.00|8.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS20|303.00|16.00|4.00|0.00|1.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS21|105.00|19.00|12.00|6.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS244|40.00|14.00|2.00|0.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS266|44.00|35.00|11.00|4.00|6.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS32|1320.00|76.00|195.00|37.00|98.00|60.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS47|517.00|40.00|33.00|0.00|8.00|21.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS48|134.00|85.00|7.00|2.00|0.00|1.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS73|220.00|20.00|69.00|0.00|2.00|62.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS74|42.00|26.00|54.00|2.00|47.00|4.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS75|0.00|2.00|5.00|2.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS76|328.00|16.00|18.00|2.00|8.00|8.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS83|58.00|33.00|12.00|9.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS86|281.00|99.00|73.00|16.00|37.00|18.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
74LS90|258.00|62.00|30.00|2.00|8.00|20.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
A733|22.00|13.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
ADAP2JACKRCA-PLUG6.3E|3.00|0.00|3.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
ALAMBRE2|356.00|271.00|779.00|176.00|381.00|198.00|24.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
AMPERIMETRO-30ACD|0.00|1.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
APAGADOR|109.00|3.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
ARDUINO-NANO|36.00|5.00|2.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
ARDUINO-UNO|116.00|6.00|10.00|4.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BANANAESCALABLE-N|0.00|49.00|4.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BANANATN|772.00|114.00|26.00|10.00|15.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BANANATR|1133.00|141.00|28.00|12.00|15.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BANANEGRO|(null)|22.00|28.00|18.00|5.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BANAROJO|(null)|10.00|40.00|18.00|8.00|11.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BARRALEDS-R10|145.00|23.00|3.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BARRALEDS-V10|50.00|24.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BAS14P|812.00|146.00|40.00|0.00|11.00|27.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BAS40P|17.00|0.00|6.00|0.00|0.00|1.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BAS6P|1.00|37.00|2.00|0.00|0.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BAS8P|995.00|20.00|11.00|0.00|3.00|8.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BASECAUTIN|23.00|2.00|3.00|1.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BASEZIF40|99.00|3.00|5.00|0.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC237A|5.00|6.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC327A|1579.00|17.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC547A|4146.00|77.00|16.00|2.00|11.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC547B|4120.00|92.00|65.00|16.00|23.00|26.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC548A|0.00|7.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC548B|905.00|124.00|37.00|6.00|10.00|17.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC557A|3056.00|48.00|6.00|0.00|5.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC557B|3490.00|83.00|24.00|0.00|5.00|19.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BC558B|251.00|108.00|1.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BD135|143.00|21.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BD136|102.00|23.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BD137|26.00|13.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BD139|8.00|3.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BLOCK-A3|0.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BLUETOOTH-HC05|118.00|6.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BLUETOOTH-HC06|12.00|1.00|1.00|0.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BOCINA1.5W|0.00|3.00|4.00|2.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BOCINA1W|8.00|6.00|10.00|0.00|10.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BOCINA3W|7.00|5.00|6.00|0.00|6.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BORNECHI-NEGRO|353.00|75.00|34.00|2.00|27.00|3.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BORNECHI-ROJO|269.00|79.00|31.00|2.00|26.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BORNEMED-NEGRO|243.00|22.00|16.00|7.00|7.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BORNEMED-ROJO|301.00|81.00|18.00|9.00|7.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BROCA1/16|110.00|6.00|4.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BROCA1/32|33.00|31.00|25.00|1.00|12.00|11.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BROCA3/64|66.00|29.00|12.00|0.00|7.00|5.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BROCHEPILA|669.00|44.00|41.00|15.00|16.00|6.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BT136|64.00|14.00|4.00|0.00|2.00|2.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BT137|15.00|52.00|1.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
BTA16|0.00|12.00|3.00|0.00|2.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
C106D|482.00|21.00|3.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLE22N|311.50|17.00|8.00|1.00|3.00|3.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLE22R|358.00|2.00|18.00|0.00|15.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLEAUXILIAR|23.00|4.00|3.00|0.00|3.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLEAWG14ROJO|165.50|96.00|4.00|0.00|4.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLEAWG18NEGRO|92.50|99.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
CABLEAWG18ROJO|98.00|99.00|1.00|0.00|0.00|1.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00|
