Tda	Prov	Prod	Existencia	Stk
5	445	216	6	14
5	445	122	10	14
5	382	12	1	14
5	750	4	5	14
5	117	78	27	14
5	132	137	5	15
5	382	3	3	15
5	54	116	14	16
5	154	9	3	16
5	445	121	14	17
5	132	146	5	18
5	89	654	16	18
5	117	61	3	19
5	132	138	3	19
5	289	40	6	19
12	743	100	3	20
8	743	100	16	20
5	330	5	41	21
5	323	1	8	21
5	132	142	6	23
5	132	147	15	23
5	744	101	9	25
5	132	151	18	25
42	743	100	23	25
5	245	11	2	26
5	132	152	19	27
5	445	228	5	27
5	132	149	20	27
5	445	137	10	27
5	132	148	21	27
5	132	150	19	27
5	54	125	25	28
5	154	7	5	29
5	445	232	21	29
5	54	122	29	29
5	386	1	27	29
5	445	203	10	30
5	445	200	19	32
5	445	139	25	34
5	445	233	13	34
5	565	151	24	35
5	445	227	2	45
5	54	100	44	49
9	743	100	50	50
5	445	224	31	66
5	646	106	68	69
5	528	7	62	71
5	445	197	47	74
5	646	101	49	75
5	445	144	28	77
5	445	230	46	79
5	445	231	60	115
5	327	124	121	123
5	445	229	45	145
